1, Кравчук Анастасія Дмитрівна, 07/09/2006, Чернівці, +380981112233, Кібербезпека, 2, КБ-23
2, Мельник Артем Владиславович, 19/01/2005, Запоріжжя, +380501234890, Комп’ютерна інженерія, 3, КІ-32
3, Соколенко Ліза Олексіївна, 25/12/2008, Полтава, +380931007654, Філологія (англійська), 1, ФА-11
4, Данилюк Олександр Ігорович, 03/05/2007, Вінниця, +380637778899, Обчислювальний інтелект смартсистем, 2, ОІ-21
5, Гнатюк Марія Сергіївна, 14/02/2007, Ужгород, +380972225566, Психологія, 2, ПС-21
6, Петренко Ігор Сергійович, 10/05/2004, Одеса, +380509876543, Кібербезпека, 2, КБ-23
7, Захарчук Анна Олегівна, 01/01/2003, Київ, +380961239876, Обчислювальний інтелект смартсистем, 3, ОІ-31
8, Іваненко Петро Миколайович, 22/07/2005, Львів, +380678881122, Обчислювальний інтелект смартсистем, 1, ОІ-12
9, Бондар Олена Андріївна, 12/03/2005, Харків, +380931234567, Кібербезпека, 2, КБ-23
10, Ткачук Дмитро Володимирович, 25/08/2004, Дніпро, +380667778899, Кібербезпека, 2, КБ-23
11, Савчук Катерина Іванівна, 10/11/2006, Луцьк, +380971112345, Кібербезпека, 2, КБ-23
12, Литвиненко Андрій Петрович, 04/06/2005, Київ, +380932223344, Кібербезпека, 2, КБ-23
13, Олійник Дарина Юріївна, 08/09/2004, Черкаси, +380994445566, Кібербезпека, 2, КБ-23
14, Гончар Максим Олександрович, 16/02/2005, Полтава, +380678889900, Кібербезпека, 2, КБ-23
15, Білик Софія Михайлівна, 09/10/2006, Івано-Франківськ, +380931009988, Кібербезпека, 2, КБ-23
16, Мороз Артем Олегович, 14/07/2005, Тернопіль, +380951234567, Кібербезпека, 2, КБ-23
17, Романюк Христина Ігорівна, 22/02/2007, Суми, +380505554433, Кібербезпека, 2, КБ-23
18, Пилипчук Владислав Сергійович, 03/04/2006, Миколаїв, +380662221111, Кібербезпека, 2, КБ-23
19, Костюк Аліна Павлівна, 27/12/2005, Рівне, +380986661122, Кібербезпека, 2, КБ-23
20, Семенюк Назар Богданович, 01/05/2006, Хмельницький, +380978887766, Кібербезпека, 2, КБ-23
21, Корнійчук Ірина Вадимівна, 12/09/2005, Львів, +380501231122, Комп’ютерна інженерія, 3, КІ-32
22, Гриценко Євген Романович, 09/03/2004, Чернігів, +380938889977, Комп’ютерна інженерія, 3, КІ-32
23, Бондаренко Марина Юріївна, 05/07/2004, Кременчук, +380678889944, Комп’ютерна інженерія, 3, КІ-32
24, Назаренко Влад Олегович, 13/02/2005, Харків, +380991112299, Комп’ютерна інженерія, 3, КІ-32
25, Діденко Олексій Петрович, 15/06/2004, Одеса, +380937778812, Комп’ютерна інженерія, 3, КІ-32
26, Риженко Софія Андріївна, 18/10/2005, Запоріжжя, +380661112277, Комп’ютерна інженерія, 3, КІ-32
27, Коломієць Ілля Сергійович, 20/12/2004, Дніпро, +380931114455, Комп’ютерна інженерія, 3, КІ-32
28, Рябчук Ольга Василівна, 11/01/2006, Київ, +380972223399, Комп’ютерна інженерія, 3, КІ-32
29, Пастух Вікторія Богданівна, 09/05/2005, Луцьк, +380508889911, Комп’ютерна інженерія, 3, КІ-32
30, Овчарук Денис Михайлович, 03/07/2004, Вінниця, +380981234876, Комп’ютерна інженерія, 3, КІ-32
31, Коваленко Тетяна Андріївна, 07/09/2005, Черкаси, +380931002211, Комп’ютерна інженерія, 3, КІ-32
32, Шевчук Богдан Ігорович, 19/11/2004, Полтава, +380671234455, Комп’ютерна інженерія, 3, КІ-32
33, Панасюк Марія Владиславівна, 24/04/2005, Суми, +380931119988, Комп’ютерна інженерія, 3, КІ-32
34, Гаврилюк Дмитро Романович, 22/06/2004, Львів, +380662228899, Комп’ютерна інженерія, 3, КІ-32
35, Яремчук Анна Петрівна, 18/02/2005, Тернопіль, +380991234555, Комп’ютерна інженерія, 3, КІ-32
